Section ID,Section Order,Section Title,Section Subtitle,Persistent,Subsection Title,Block Order,Block Type,Content,Block ID,Escalate Description,Escalate Type,Escalate Priority,Template Text
port-out,7,Unauthorized Port Out,The customer's phone number was ported out without their consent / knowledge,,,2,html,"<ol><li>Check for existing 'Unauthorized Port Out' ticket<ol><li>If the device is eSIM compatible<ol><li>Reactivate in Customer App by sending a new eSIM profile</li></ol></li><li>If none exists, create a 'Unauthorized Port Out' ticket<ol><li>Close the Fraud ticket / do <strong>not</strong> create another type of ticket</li><li>Work the 'Unauthorized Port out Ticket' following the <a class=""fr-ext-link"" href=""https://wireless-lumapps.dish.com/wireless-case-management/ls/content/8539914999637357/82039"" target=""_blank"" rel=""noopener noreferrer"">Unauthorized Port Tickets<span class=""material-icons-round"" style=""font-size:11px; vertical-align:-1px; margin-left:2px;"">open_in_new</span></a> article</li></ol></li><li>Move to the {{▿Fraud Routing->fraud-routing}} section</li></ol></li></ol>",,,,,
suspended,8,Suspended - Line Restriction,This issue should not be handled by Wireless Case Management,,,1,callout-redirect,This issue should not be handled by Wireless Case Management,,,,,
suspended,8,Suspended - Line Restriction,This issue should not be handled by Wireless Case Management,,,2,html,"<ol><li>If a ticket does not already exist, do <strong>not</strong> create a ticket for this issue.</li><li>Check Customer App to determine if the impacted PTN is in a 'Line Restricted' status.</li><li>Check Customer App Memos to determine if Usage Fraud suspended the line.<ol><li>If the line is 'Line Restricted' by Usage Fraud, route the ticket to Usage Fraud.<ol><li>If the line is restricted due to ATO, include in the notes:<ol><li><em>""The customer's line was restricted due to account takeover. Please take this into consideration when reviewing this line so we restore service to the legitimate device.""</em></li></ol></li></ol></li><li>If the line is 'Line Restricted' by other means, continue.</li><li>Advise the customer must email <strong>usageteam@boostmobile.com</strong> for assistance and apologize for any inconvenience.<ol><li>Inform the customer to include the following information in the email:<ol><li>Phone Number (PTN)</li><li>Account Number</li><li>Email Address associated with the account</li></ol></li></ol></li></ol></li></ol>",,,,,
other,9,Other,Any other Fraud issue that is not one of the categories above,,,1,html,"<ol><li>Determine if this is a Fraud related issue<ol type=""a""><li>If not Fraud related, follow the appropriate steps to resolve the customer's issue</li><li>If Fraud related, and it is none of the above categories<ol type=""i""><li>Attempt to resolve the customer's issue<ol><li>If unable to, Move to the <strong>{{▿Fraud Routing->fraud-routing}}</strong> section and route to the appropriate Fraud team.</li></ol></li></ol></li></ol></li></ol>",,,,,
fraud-routing,10,Fraud Routing / Reconciliation,,,,1,callout-danger,<strong>Important!</strong> This section should only be used when the fraud issue requires Fraud intervention or the customer has been made whole.,,,,,
fraud-routing,10,Fraud Routing / Reconciliation,,,If the Customer has Been Made Whole,2,html,"<p><strong>Ex: Service has been restored, no credits or further intervention is required from WCM</strong></p><ol><li>Disposition the Freshdesk ticket accordingly and notate<ol type=""i""><li>Status: <strong>Resolved</strong></li><li>Support Status: <strong>Reconciliation</strong></li></ol></li><li>Route the Freshdesk ticket to the appropriate Fraud team</li><li>Add a private note to the Freshdesk ticket following the template below: [[TEMPLATE:made-whole]]</li></ol>",,,,,
fraud-routing,10,Fraud Routing / Reconciliation,,,,3,template-def,,made-whole,,,,"Group routing to:
Any Unauthorized Changes made by Fraudster:
PTN customer received fraudulent contact from:
Actions taken by WCM:
IMEI of the blacklisted device:
*The customer has been made whole. Fraud please conduct an investigation and route to Wireless Case Management if customer contact is needed.*"
fraud-routing,10,Fraud Routing / Reconciliation,,,If the Customer Requires Fraud Intervention to Fix an Issue,4,html,"<ol><li>Disposition the Freshdesk ticket accordingly and notate<ol type=""i""><li>Status: <strong>Open</strong></li></ol></li><li>Route the Freshdesk ticket to the appropriate Fraud team</li><li>Add a private note to the Freshdesk ticket following the template below: [[TEMPLATE:needs-intervention]]</li></ol>",,,,,
fraud-routing,10,Fraud Routing / Reconciliation,,,,5,template-def,,needs-intervention,,,,"Routing Ticket to another Group
Group routing to:
Any Account/Plan Changes made by Fraudster:
PTN customer received Fraudulent contact from:
Actions taken by WCM:
Action needed:
Group to reassign to upon updates:
Agent to assign to:"
fraud-teams,11,Fraud Teams,Use the information below to determine which Fraud team handles the issue the customer is experiencing,,Device Fraud Investigations,1,html,"<ol><li>Customer claims device was ""Hacked""</li><li>Unauthorized Device/SIM Change</li><li>Customer received an SMS or Email regarding unauthorized account activity/access</li><li>Unable to access customer's account due to lock</li><li>Unauthorized Changes to account</li><li>Unauthorized Line Added (Added via Web, App or Agent)</li><li>Unauthorized Add-On</li><li>Unauthorized Base Plan Change</li><li>Domestic Dispute<ol><li>In situations involving family members, partners, etc<ol><li>Inform the customer about splitting 1 or more phone numbers off of this account, and assist them if this is the request</li></ol></li></ol></li></ol>",,,,,
fraud-teams,11,Fraud Teams,Use the information below to determine which Fraud team handles the issue the customer is experiencing,,Retail Fraud,2,html,"<ol><li>In-Store Transactions</li><li>Upset over plan change, misinformation, or device purchase at a store location</li><li>Any Fraud Issue where a customer suspects a Retailer is at fault</li></ol>",,,,,
fraud-teams,11,Fraud Teams,Use the information below to determine which Fraud team handles the issue the customer is experiencing,,Usage Fraud,3,html,<ol><li>Disputing an account suspension (Line Restriction)</li><li>Unauthorized Port Out</li><li>Porting Fraud</li></ol>,,,,,
scout,12,Blacklist/Whitelist in SCOUT,,,Blacklist,1,html,"<p>Blacklisting a device in SCOUT will remove the ability for a device to be activated on any network. This action should only be performed in account takeover situations.</p><ol><li>Blacklist the fraudulent IMEI in <strong>SCOUT</strong><ol type=""a""><li>PIMS Support &gt; Disposition</li><li>Enter the fraudulent IMEI</li><li>On the right side, click 'Edit'</li><li>Adjust the Current Disposition to: <strong>BLACKLIST</strong></li><li>Click 'Save'</li><li>After blacklisting, the <strong>Disposition Status</strong> should say <strong>BLACKLIST</strong>:</li></ol></li></ol>",,,,,
scout,12,Blacklist/Whitelist in SCOUT,,,Whitelist,2,html,"<p>Whitelisting a device in SCOUT should only be used to correct a status that was incorrectly dispositioned. Ex) A legitimate device was marked as <strong>BLACKLIST</strong>.</p><ol><li>Whitelist the fraudulent IMEI in <strong>SCOUT</strong><ol type=""a""><li>PIMS Support &gt; Disposition</li><li>Enter the fraudulent IMEI</li><li>On the right side, click 'Edit'</li><li>Adjust the Current Disposition to: <strong>WHITELIST</strong></li><li>Click 'Save'</li><li>After whitelisting, the <strong>Disposition Status</strong> should say <strong>WHITELIST.</strong></li></ol></li></ol>",,,,,
